Domain,Count_old,Count_new,Change
signaler-pa.clients6.google.com,0,24,24
beacons.gcp.gvt2.com,0,24,24
console.cloud.google.com,0,14,14
bitbucket.org,0,12,12
cdn3.forter.com,0,8,8
easylist-downloads.adblockplus.org,0,8,8
google.com,0,8,8
cdn123.forter.com,0,8,8
addons-pa.clients6.google.com,0,8,8
ad.doubleclick.net,0,8,8
obs.cityrobotflower.com,0,8,8
mail.google.com,0,8,8
www.google-analytics.com,0,8,8
ssl.gstatic.com,0,8,8
www.loom.com,0,8,8
www.googleadservices.com,0,8,8
q.quora.com,0,8,8
csp-reporting.cloudflare.com,0,8,8
mobile.events.data.microsoft.com,0,7,7
play.google.com,0,5,5
api.atlassian.com,0,5,5
4c4cc75a16ed.cdn4.forter.com,0,4,4
85f55bcdec7c4bd5ac4098b09bcff666-4c4cc75a16ed.cdn.forter.com,0,4,4
analytics.tiktok.com,0,4,4
accounts.google.com,0,4,4
accounts.youtube.com,0,4,4
9982405.fls.doubleclick.net,0,4,4
a.quora.com,0,4,4
www.googletagmanager.com,0,4,4
www.upwork.com,0,4,4
adservice.google.com,0,4,4
googleads.g.doubleclick.net,0,4,4
cdn0.forter.com,0,4,4
assets.static-upwork.com,0,4,4
ec2-52-23-111-175.compute-1.amazonaws.com,0,4,4
d.impactradius-event.com,0,4,4
ob.cityrobotflower.com,0,4,4
copilot.microsoft.com,0,4,4
cdn9.forter.com,0,4,4
cdn.cookielaw.org,0,4,4
bat.bing.com,0,4,4
bbc-frontbucket-static.prod-east.frontend.public.atl-paas.net,0,4,4
auth.upwork.com,0,4,4
api.github.com,0,4,4
zn0izjiulta2j2t4o-upwork.siteintercept.qualtrics.com,0,4,4
www.google.co.ke,0,4,4
tl.upwork.com,0,4,4
main.vscode-cdn.net,0,4,4
i.ytimg.com,0,4,4
edge.microsoft.com,0,4,4
events-relay.upwork.com,0,4,4
rr5---sn-n545gpjvh-ocvz.googlevideo.com,0,4,4
td.doubleclick.net,0,4,4
settings.visualstudio.microsoft.com,0,4,4
siteintercept.qualtrics.com,0,4,4
storage.googleapis.com,0,4,4
trkn.us,0,4,4
px.ads.linkedin.com,0,4,4
pt.ispot.tv,0,4,4
pixels.spotify.com,0,4,4
www.bing.com,0,4,4
www.google.com,0,4,4
x.com,0,4,4
update.code.visualstudio.com,0,4,4
waa-pa.clients6.google.com,0,4,4
westus-0.in.applicationinsights.azure.com,0,4,4
telemetry.individual.githubcopilot.com,0,3,3
a7h4qt7q1f.execute-api.eu-central-1.amazonaws.com,0,2,2
aka.ms,0,2,2
ocsp.entrust.net,0,2,2
crl3.digicert.com,0,2,2
login.microsoftonline.com,0,2,2
prod-telemetry-10-archive.s3.eu-central-1.amazonaws.com,0,2,2
v20.events.data.microsoft.com,0,2,2
vortex.data.microsoft.com,0,2,2
v10.events.data.microsoft.com,0,2,2
